Наименование фабрик и заводов,Город Красноярск: Число,Город Красноярск: Сумма,Город Красноярск: Рабочих,Округ Красноярский: Число,Округ Красноярский: Сумма,Округ Красноярский: Рабочих,Город Енисейск: Число,Город Енисейск: Сумма,Город Енисейск: Рабочих,Округ Енисейский: Число,Округ Енисейский: Сумма,Округ Енисейский: Рабочих,Город Канск: Число,Город Канск: Сумма,Город Канск: Рабочих
I. Обделывающие животные продукты: Салотопенные свечные и мыловаренные,3,9654,126,0,0,0,2,2500,3,0,0,0,7,3500,10
Кожевенные,9,36895,40,9,860,9,1,3230,5,3,900,5,*,10000,12
Воскобойные,1,20000,6,0,0,0,0,0,0,0,0,0,0,0,0
II. Обделывающие растительные продукты: Крупчатные,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Маслобойные,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Канатные и веревочные,2,9215,11,0,0,0,0,0,0,0,0,0,0,0,0
Винокуренные,0,0,0,1,277519-97,30,1,120700,22,1,48760,30,0,0,0
Водочные заводы,1,75000,46,0,0,0,1,10500,11,0,0,0,0,0,0
Пиво-медоваренные,2,18743,19,0,0,0,1,6300,5,0,0,0,0,0,0
Паточные,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Свеклосахарный,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
III. Обделывающие ископаемые продукты: Чугунолитейные железоделательные слесарные и лесопильные,2,59660,98,0,0,0,0,0,0,0,0,0,0,0,0
Стеклоделательные,0,0,0,1,6000,12,0,0,0,0,0,0,0,0,0
Фаянсовые,0,0,0,1,500,3,0,0,0,0,0,0,0,0,0
Колокольные,1,1450,3,0,0,0,0,0,0,0,0,0,0,0,0
Кирпичные,9,18907,76,0,0,0,7,3960,12,0,0,0,10,1500,20
Гончарные,1,800,5,0,0,0,0,0,0,0,0,0,0,0,0
Солеваренные,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Смольные и скипидарные,0,0,0,1,200,2,0,0,0,0,0,0,0,0,0
IV. Смешанных продуктов: Экипажные и кузнечные,0,0,0,0,0,0,5,3350,16,0,0,0,0,0,0
Итого,31,250324,430,13,285079-97,56,18,150540,74,4,49660,35,2*,15000,42
